Car ID,Brand,Model,Year,Color,Mileage,Price,Location,Mileage_
37,Honda,Civic,2017,White,50000,17000,Atlanta,Middle
38,Ford,Fiesta,2018,Blue,40000,14000,Phoenix,Middle
39,Chevrolet,Cruze,2019,Black,45000,16000,Houston,Middle
40,Hyundai,Elantra,2020,Red,35000,18000,Seattle,Low
41,Toyota,Camry,2017,Silver,60000,19000,Los Angeles,High
42,Honda,Accord,2018,White,50000,18000,New York,Middle
43,Ford,Mustang,2019,Blue,40000,22000,Chicago,Middle
44,Chevrolet,Camaro,2020,Red,35000,25000,Miami,Low
45,Hyundai,Genesis,2015,Black,70000,18000,San Francisco,High
46,Toyota,Avalon,2016,Silver,55000,19000,Dallas,Middle
47,Honda,Civic,2017,Gray,50000,17000,Atlanta,Middle
48,Ford,Fusion,2018,White,45000,16000,Phoenix,Middle
49,Chevrolet,Impala,2019,Blue,40000,18000,Houston,Middle
50,Hyundai,Sonata,2020,Red,35000,20000,Seattle,Low
51,Toyota,Corolla,2017,Silver,55000,19000,Los Angeles,Middle
52,Honda,CR-V,2018,White,50000,23000,New York,Middle
53,Ford,Escape,2019,Blue,40000,21000,Chicago,Middle
54,Chevrolet,Equinox,2020,Black,35000,24000,Miami,Low
55,Hyundai,Tucson,2015,Red,70000,20000,San Francisco,High
56,Toyota,Rav4,2016,Gray,55000,22000,Dallas,Middle
57,Honda,Pilot,2017,White,50000,24000,Atlanta,Middle
58,Ford,Explorer,2018,Blue,45000,23000,Phoenix,Middle
59,Chevrolet,Traverse,2019,Black,40000,27000,Houston,Middle
60,Hyundai,Santa Fe,2020,Red,35000,25000,Seattle,Low
61,Toyota,4Runner,2015,Silver,70000,28000,Los Angeles,High
62,Honda,Odyssey,2016,White,55000,22000,New York,Middle
63,Ford,Edge,2017,Blue,50000,21000,Chicago,Middle
64,Chevrolet,Tahoe,2018,Black,45000,26000,Miami,Middle
65,Hyundai,Palisade,2019,Silver,30000,29000,San Francisco,Low
66,Toyota,Sienna,2020,Red,35000,27000,Dallas,Low
67,Honda,Fit,2017,Gray,55000,12000,Atlanta,Middle
68,Ford,Fusion,2018,White,50000,15000,Phoenix,Middle
69,Chevrolet,Malibu,2019,Blue,40000,17000,Houston,Middle
70,Hyundai,Venue,2016,Silver,60000,14000,Seattle,High
71,Toyota,Yaris,2017,Black,55000,12000,Los Angeles,Middle
72,Toyota,Camry,2017,White,45000,18000,Los Angeles,Middle
73,Honda,Civic,2015,Blue,35000,16000,New York,Low
74,Toyota,Camry,2018,White,55000,14000,Los Angeles,Middle
75,Honda,Civic,2016,Blue,60000,12000,New York,High
76,Ford,Focus,2019,Silver,40000,15000,Chicago,Middle
77,Chevrolet,Cruze,2015,Red,25000,19000,Miami,Low
78,Hyundai,Elantra,2020,Black,30000,18000,San Francisco,Low
79,Toyota,Corolla,2016,Gray,65000,22000,Dallas,High
80,Honda,Accord,2015,White,55000,16000,Atlanta,Middle
81,Ford,Mustang,2020,Yellow,50000,14000,Phoenix,Middle
82,Chevrolet,Impala,2015,Black,55000,19000,Houston,Middle
83,Hyundai,Sonata,2020,Blue,30000,23000,Seattle,Low
84,Toyota,Rav5,2017,Gray,40000,21000,Los Angeles,Middle
85,Honda,CR-V,2019,Red,45000,18000,New York,Middle
86,Ford,Escape,2020,White,35000,20000,Chicago,Low
87,Chevrolet,Equinox,2019,Black,60000,25000,Miami,High
88,Hyundai,Kona,2017,Blue,55000,24000,San Francisco,Middle
89,Toyota,Highlander,2016,Silver,50000,23000,Dallas,Middle
90,Honda,Pilot,2018,Gray,35000,28000,Atlanta,Low
91,Ford,Explorer,2018,White,40000,25000,Phoenix,Middle
92,Chevrolet,Traverse,2016,Black,70000,27000,Houston,High
93,Hyundai,Santa Fe,2020,Red,55000,22000,Seattle,Middle
94,Toyota,4Runner,2017,Silver,50000,21000,Los Angeles,Middle
95,Honda,Odyssey,2017,White,45000,26000,New York,Middle
96,Ford,Edge,2019,Blue,30000,29000,Chicago,Low
97,Chevrolet,Tahoe,2018,Black,35000,27000,Miami,Low
98,Hyundai,Palisade,2018,Silver,55000,12000,San Francisco,Middle
99,Toyota,Sienna,2019,Red,50000,15000,Dallas,Middle
100,Honda,Fit,2017,Gray,40000,17000,Atlanta,Middle
101,Ford,Fusion,2015,White,60000,14000,Phoenix,High
102,Chevrolet,Malibu,2016,Blue,55000,12000,Houston,Middle
103,Hyundai,Venue,2018,Silver,50000,15000,Seattle,Middle
104,Toyota,Yaris,2018,Black,40000,17000,Los Angeles,Middle
105,Honda,HR-V,2016,White,35000,14000,New York,Low
106,Ford,EcoSport,2017,Red,70000,12000,Chicago,High
107,Chevrolet,Spark,2017,Blue,55000,15000,Miami,Middle
108,Hyundai,Accent,2019,Silver,50000,17000,San Francisco,Middle
109,Toyota,Prius,2017,Gray,40000,14000,Dallas,Middle
110,Honda,Civic,2015,White,45000,16000,Atlanta,Middle
111,Ford,Fiesta,2019,Blue,35000,18000,Phoenix,Low
112,Chevrolet,Cruze,2018,Black,60000,19000,Houston,High
113,Hyundai,Elantra,2016,Red,50000,18000,Seattle,Middle
114,Toyota,Camry,2019,Silver,40000,22000,Los Angeles,Middle
115,Honda,Accord,2020,White,35000,25000,New York,Low
116,Ford,Mustang,2020,Blue,70000,18000,Chicago,High
117,Chevrolet,Camaro,2019,Red,55000,19000,Miami,Middle
118,Hyundai,Genesis,2017,Black,50000,17000,San Francisco,Middle
119,Toyota,Avalon,2015,Silver,45000,16000,Dallas,Middle
120,Honda,Civic,2015,Gray,40000,18000,Atlanta,Middle
121,Ford,Fusion,2015,White,35000,20000,Phoenix,Low
122,Chevrolet,Impala,2020,Blue,55000,19000,Houston,Middle
123,Hyundai,Sonata,2017,Red,50000,23000,Seattle,Middle
124,Toyota,Corolla,2017,Silver,40000,21000,Los Angeles,Middle
125,Honda,CR-V,2018,White,35000,24000,New York,Low
126,Ford,Escape,2019,Blue,70000,20000,Chicago,High
127,Chevrolet,Equinox,2015,Black,55000,22000,Miami,Middle
128,Hyundai,Tucson,2019,Red,50000,24000,San Francisco,Middle
129,Toyota,Rav5,2015,Gray,45000,23000,Dallas,Middle
130,Honda,Pilot,2016,White,40000,27000,Atlanta,Middle
131,Ford,Explorer,2015,Blue,35000,25000,Phoenix,Low
132,Chevrolet,Traverse,2017,Black,70000,28000,Houston,High
133,Hyundai,Santa Fe,2018,Red,55000,22000,Seattle,Middle
134,Toyota,4Runner,2017,Silver,50000,21000,Los Angeles,Middle
135,Honda,Odyssey,2016,White,45000,26000,New York,Middle
136,Ford,Edge,2019,Blue,30000,29000,Chicago,Low
137,Chevrolet,Tahoe,2016,Black,35000,27000,Miami,Low
138,Hyundai,Palisade,2020,Silver,55000,12000,San Francisco,Middle
139,Toyota,Sienna,2020,Red,50000,15000,Dallas,Middle
140,Honda,Fit,2018,Gray,40000,17000,Atlanta,Middle
141,Ford,Fusion,2018,White,60000,14000,Phoenix,High
142,Chevrolet,Malibu,2019,Blue,55000,12000,Houston,Middle
143,Hyundai,Venue,2015,Silver,45000,18000,Seattle,Middle
144,Toyota,Yaris,2018,Black,35000,16000,Los Angeles,Low
145,Toyota,Camry,2018,White,55000,14000,Los Angeles,Middle
146,Honda,Civic,2016,Blue,60000,12000,New York,High
147,Toyota,Camry,2016,White,40000,15000,Los Angeles,Middle
148,Honda,Civic,2016,Blue,25000,19000,New York,Low
149,Ford,Focus,2016,Silver,30000,18000,Chicago,Low
150,Chevrolet,Cruze,2018,Red,65000,22000,Miami,High
151,Hyundai,Elantra,2017,Black,55000,16000,San Francisco,Middle
152,Toyota,Corolla,2019,Gray,50000,14000,Dallas,Middle
153,Honda,Accord,2017,White,55000,19000,Atlanta,Middle
154,Ford,Mustang,2017,Yellow,30000,23000,Phoenix,Low
155,Chevrolet,Impala,2015,Black,40000,21000,Houston,Middle
156,Hyundai,Sonata,2017,Blue,45000,18000,Seattle,Middle
157,Toyota,Rav6,2015,Gray,35000,20000,Los Angeles,Low
158,Honda,CR-V,2020,Red,60000,25000,New York,High
159,Ford,Escape,2019,White,55000,24000,Chicago,Middle
160,Chevrolet,Equinox,2015,Black,50000,23000,Miami,Middle
161,Hyundai,Kona,2020,Blue,35000,28000,San Francisco,Low
162,Toyota,Highlander,2020,Silver,40000,25000,Dallas,Middle
163,Honda,Pilot,2018,Gray,70000,27000,Atlanta,High
164,Ford,Explorer,2015,White,55000,22000,Phoenix,Middle
165,Chevrolet,Traverse,2017,Black,50000,21000,Houston,Middle
166,Hyundai,Santa Fe,2019,Red,45000,26000,Seattle,Middle
167,Toyota,4Runner,2019,Silver,30000,29000,Los Angeles,Low
168,Honda,Odyssey,2016,White,35000,27000,New York,Low
169,Ford,Edge,2019,Blue,55000,12000,Chicago,Middle
170,Chevrolet,Tahoe,2015,Black,50000,15000,Miami,Middle
171,Hyundai,Palisade,2016,Silver,40000,17000,San Francisco,Middle
172,Toyota,Sienna,2019,Red,60000,14000,Dallas,High
173,Honda,Fit,2020,Gray,55000,12000,Atlanta,Middle
174,Ford,Fusion,2019,White,50000,15000,Phoenix,Middle
175,Chevrolet,Malibu,2016,Blue,40000,17000,Houston,Middle
176,Hyundai,Venue,2015,Silver,35000,14000,Seattle,Low
177,Toyota,Yaris,2018,Black,70000,12000,Los Angeles,High
178,Honda,HR-V,2017,White,55000,15000,New York,Middle
179,Ford,EcoSport,2016,Red,50000,17000,Chicago,Middle
180,Chevrolet,Spark,2016,Blue,40000,14000,Miami,Middle
181,Hyundai,Accent,2016,Silver,45000,16000,San Francisco,Middle
182,Toyota,Prius,2019,Gray,35000,18000,Dallas,Low
183,Honda,Civic,2015,White,60000,19000,Atlanta,High
184,Ford,Fiesta,2018,Blue,50000,18000,Phoenix,Middle
185,Chevrolet,Cruze,2015,Black,40000,22000,Houston,Middle
186,Hyundai,Elantra,2015,Red,35000,25000,Seattle,Low
187,Toyota,Camry,2020,Silver,70000,18000,Los Angeles,High
188,Honda,Accord,2016,White,55000,19000,New York,Middle
189,Ford,Mustang,2016,Blue,50000,17000,Chicago,Middle
190,Chevrolet,Camaro,2020,Red,45000,16000,Miami,Middle
191,Hyundai,Genesis,2020,Black,40000,18000,San Francisco,Middle
192,Toyota,Avalon,2019,Silver,35000,20000,Dallas,Low
193,Honda,Civic,2015,Gray,55000,19000,Atlanta,Middle
194,Ford,Fusion,2020,White,50000,23000,Phoenix,Middle
195,Chevrolet,Impala,2016,Blue,40000,21000,Houston,Middle
196,Hyundai,Sonata,2016,Red,35000,24000,Seattle,Low
197,Toyota,Corolla,2020,Silver,70000,20000,Los Angeles,High
198,Honda,CR-V,2015,White,55000,22000,New York,Middle
199,Ford,Escape,2019,Blue,50000,24000,Chicago,Middle
200,Chevrolet,Equinox,2019,Black,45000,23000,Miami,Middle
201,Hyundai,Tucson,2015,Red,40000,27000,San Francisco,Middle
202,Toyota,Rav6,2016,Gray,35000,25000,Dallas,Low
203,Honda,Pilot,2016,White,70000,28000,Atlanta,High
204,Ford,Explorer,2019,Blue,55000,22000,Phoenix,Middle
205,Chevrolet,Traverse,2017,Black,50000,21000,Houston,Middle
206,Hyundai,Santa Fe,2017,Red,45000,26000,Seattle,Middle
207,Toyota,4Runner,2018,Silver,30000,29000,Los Angeles,Low
208,Honda,Odyssey,2015,White,35000,27000,New York,Low
209,Ford,Edge,2019,Blue,55000,12000,Chicago,Middle
210,Chevrolet,Tahoe,2018,Black,50000,15000,Miami,Middle
211,Hyundai,Palisade,2016,Silver,40000,17000,San Francisco,Middle
212,Toyota,Sienna,2018,Red,60000,14000,Dallas,High
213,Honda,Fit,2019,Gray,55000,12000,Atlanta,Middle
214,Ford,Fusion,2017,White,45000,18000,Phoenix,Middle
215,Chevrolet,Malibu,2015,Blue,35000,16000,Houston,Low
216,Hyundai,Venue,2016,Silver,55000,14000,Seattle,Middle
217,Toyota,Yaris,2015,Black,60000,12000,Los Angeles,High
218,Toyota,Camry,2017,White,40000,15000,Los Angeles,Middle
219,Honda,Civic,2015,Blue,25000,19000,New York,Low
220,Toyota,Camry,2020,White,30000,18000,Los Angeles,Low
221,Honda,Civic,2019,Blue,65000,22000,New York,High
222,Ford,Focus,2019,Silver,55000,16000,Chicago,Middle
223,Chevrolet,Cruze,2018,Red,50000,14000,Miami,Middle
224,Hyundai,Elantra,2016,Black,55000,19000,San Francisco,Middle
225,Toyota,Corolla,2018,Gray,30000,23000,Dallas,Low
226,Honda,Accord,2016,White,40000,21000,Atlanta,Middle
227,Ford,Mustang,2015,Yellow,45000,18000,Phoenix,Middle
228,Chevrolet,Impala,2018,Black,35000,20000,Houston,Low
229,Hyundai,Sonata,2015,Blue,60000,25000,Seattle,High
230,Toyota,Rav7,2016,Gray,55000,24000,Los Angeles,Middle
231,Honda,CR-V,2019,Red,50000,23000,New York,Middle
232,Ford,Escape,2015,White,35000,28000,Chicago,Low
233,Chevrolet,Equinox,2020,Black,40000,25000,Miami,Middle
234,Hyundai,Kona,2018,Blue,70000,27000,San Francisco,High
235,Toyota,Highlander,2020,Silver,55000,22000,Dallas,Middle
236,Honda,Pilot,2020,Gray,50000,21000,Atlanta,Middle
237,Ford,Explorer,2019,White,45000,26000,Phoenix,Middle
238,Chevrolet,Traverse,2018,Black,30000,29000,Houston,Low
239,Hyundai,Santa Fe,2016,Red,35000,27000,Seattle,Low
240,Toyota,4Runner,2018,Silver,55000,12000,Los Angeles,Middle
241,Honda,Odyssey,2017,White,50000,15000,New York,Middle
242,Ford,Edge,2015,Blue,40000,17000,Chicago,Middle
243,Chevrolet,Tahoe,2018,Black,60000,14000,Miami,High
244,Hyundai,Palisade,2015,Silver,55000,12000,San Francisco,Middle
245,Toyota,Sienna,2016,Red,50000,15000,Dallas,Middle
246,Honda,Fit,2020,Gray,40000,17000,Atlanta,Middle
247,Ford,Fusion,2019,White,35000,14000,Phoenix,Low
248,Chevrolet,Malibu,2017,Blue,70000,12000,Houston,High
249,Hyundai,Venue,2019,Silver,55000,15000,Seattle,Middle
250,Toyota,Yaris,2017,Black,50000,17000,Los Angeles,Middle
251,Honda,HR-V,2020,White,40000,14000,New York,Middle
252,Ford,EcoSport,2017,Red,45000,16000,Chicago,Middle
253,Chevrolet,Spark,2015,Blue,35000,18000,Miami,Low
254,Hyundai,Accent,2015,Silver,60000,19000,San Francisco,High
255,Toyota,Prius,2017,Gray,50000,18000,Dallas,Middle
256,Honda,Civic,2020,White,40000,22000,Atlanta,Middle
257,Ford,Fiesta,2017,Blue,35000,25000,Phoenix,Low
258,Chevrolet,Cruze,2020,Black,70000,18000,Houston,High
259,Hyundai,Elantra,2018,Red,55000,19000,Seattle,Middle
260,Toyota,Camry,2015,Silver,50000,17000,Los Angeles,Middle
261,Honda,Accord,2020,White,45000,16000,New York,Middle
262,Ford,Mustang,2015,Blue,40000,18000,Chicago,Middle
263,Chevrolet,Camaro,2016,Red,35000,20000,Miami,Low
264,Hyundai,Genesis,2020,Black,55000,19000,San Francisco,Middle
265,Toyota,Avalon,2016,Silver,50000,23000,Dallas,Middle
266,Honda,Civic,2019,Gray,40000,21000,Atlanta,Middle
267,Ford,Fusion,2017,White,35000,24000,Phoenix,Low
268,Chevrolet,Impala,2019,Blue,70000,20000,Houston,High
269,Hyundai,Sonata,2015,Red,55000,22000,Seattle,Middle
270,Toyota,Corolla,2018,Silver,50000,24000,Los Angeles,Middle
271,Honda,CR-V,2018,White,45000,23000,New York,Middle
272,Ford,Escape,2019,Blue,40000,27000,Chicago,Middle
273,Chevrolet,Equinox,2018,Black,35000,25000,Miami,Low
274,Hyundai,Tucson,2015,Red,70000,28000,San Francisco,High
275,Toyota,Rav7,2019,Gray,55000,22000,Dallas,Middle
276,Honda,Pilot,2019,White,50000,21000,Atlanta,Middle
277,Ford,Explorer,2017,Blue,45000,26000,Phoenix,Middle
278,Chevrolet,Traverse,2017,Black,30000,29000,Houston,Low
279,Hyundai,Santa Fe,2018,Red,35000,27000,Seattle,Low
280,Toyota,4Runner,2017,Silver,55000,12000,Los Angeles,Middle
281,Honda,Odyssey,2015,White,50000,15000,New York,Middle
282,Ford,Edge,2020,Blue,40000,17000,Chicago,Middle
283,Chevrolet,Tahoe,2019,Black,60000,14000,Miami,High
284,Hyundai,Palisade,2017,Silver,55000,12000,San Francisco,Middle
285,Toyota,Sienna,2016,Red,45000,18000,Dallas,Middle
286,Honda,Fit,2017,Gray,35000,16000,Atlanta,Low
287,Ford,Fusion,2019,White,55000,14000,Phoenix,Middle
288,Chevrolet,Malibu,2020,Blue,60000,12000,Houston,High
289,Hyundai,Venue,2018,Silver,40000,15000,Seattle,Middle
290,Toyota,Yaris,2019,Black,25000,19000,Los Angeles,Low
291,Toyota,Camry,2018,White,30000,18000,Los Angeles,Low
292,Honda,Civic,2015,Blue,65000,22000,New York,High
293,Toyota,Camry,2015,White,55000,16000,Los Angeles,Middle
294,Honda,Civic,2019,Blue,50000,14000,New York,Middle
295,Ford,Focus,2016,Silver,55000,19000,Chicago,Middle
296,Chevrolet,Cruze,2015,Red,30000,23000,Miami,Low
297,Hyundai,Elantra,2019,Black,40000,21000,San Francisco,Middle
298,Toyota,Corolla,2016,Gray,45000,18000,Dallas,Middle
299,Honda,Accord,2020,White,35000,20000,Atlanta,Low
300,Ford,Mustang,2019,Yellow,60000,25000,Phoenix,High
301,Chevrolet,Impala,2017,Black,55000,24000,Houston,Middle
302,Hyundai,Sonata,2019,Blue,50000,23000,Seattle,Middle
303,Toyota,Rav8,2019,Gray,35000,28000,Los Angeles,Low
304,Honda,CR-V,2017,Red,40000,25000,New York,Middle
305,Ford,Escape,2016,White,70000,27000,Chicago,High
306,Chevrolet,Equinox,2016,Black,55000,22000,Miami,Middle
307,Hyundai,Kona,2016,Blue,50000,21000,San Francisco,Middle
308,Toyota,Highlander,2017,Silver,45000,26000,Dallas,Middle
309,Honda,Pilot,2018,Gray,30000,29000,Atlanta,Low
310,Ford,Explorer,2016,White,35000,27000,Phoenix,Low
311,Chevrolet,Traverse,2018,Black,55000,12000,Houston,Middle
312,Hyundai,Santa Fe,2019,Red,50000,15000,Seattle,Middle
313,Toyota,4Runner,2017,Silver,40000,17000,Los Angeles,Middle
314,Honda,Odyssey,2016,White,60000,14000,New York,High
315,Ford,Edge,2020,Blue,55000,12000,Chicago,Middle
316,Chevrolet,Tahoe,2017,Black,50000,15000,Miami,Middle
317,Hyundai,Palisade,2015,Silver,40000,17000,San Francisco,Middle
318,Toyota,Sienna,2019,Red,35000,14000,Dallas,Low
319,Honda,Fit,2020,Gray,70000,12000,Atlanta,High
320,Ford,Fusion,2020,White,55000,15000,Phoenix,Middle
321,Chevrolet,Malibu,2019,Blue,50000,17000,Houston,Middle
322,Hyundai,Venue,2018,Silver,40000,14000,Seattle,Middle
323,Toyota,Yaris,2019,Black,45000,16000,Los Angeles,Middle
324,Honda,HR-V,2017,White,35000,18000,New York,Low
325,Ford,EcoSport,2020,Red,60000,19000,Chicago,High
326,Chevrolet,Spark,2017,Blue,50000,18000,Miami,Middle
327,Hyundai,Accent,2017,Silver,40000,22000,San Francisco,Middle
328,Toyota,Prius,2016,Gray,35000,25000,Dallas,Low
329,Honda,Civic,2015,White,70000,18000,Atlanta,High
330,Ford,Fiesta,2020,Blue,55000,19000,Phoenix,Middle
331,Chevrolet,Cruze,2015,Black,50000,17000,Houston,Middle
332,Hyundai,Elantra,2016,Red,45000,16000,Seattle,Middle
333,Toyota,Camry,2018,Silver,40000,18000,Los Angeles,Middle
334,Honda,Accord,2018,White,35000,20000,New York,Low
335,Ford,Mustang,2019,Blue,55000,19000,Chicago,Middle
336,Chevrolet,Camaro,2019,Red,50000,23000,Miami,Middle
337,Hyundai,Genesis,2015,Black,40000,21000,San Francisco,Middle
338,Toyota,Avalon,2019,Silver,35000,24000,Dallas,Low
339,Honda,Civic,2016,Gray,70000,20000,Atlanta,High
340,Ford,Fusion,2018,White,55000,22000,Phoenix,Middle
341,Chevrolet,Impala,2017,Blue,50000,24000,Houston,Middle
342,Hyundai,Sonata,2020,Red,45000,23000,Seattle,Middle
343,Toyota,Corolla,2020,Silver,40000,27000,Los Angeles,Middle
344,Honda,CR-V,2020,White,35000,25000,New York,Low
345,Ford,Escape,2015,Blue,70000,28000,Chicago,High
346,Chevrolet,Equinox,2020,Black,55000,22000,Miami,Middle
347,Hyundai,Tucson,2017,Red,50000,21000,San Francisco,Middle
348,Toyota,Rav8,2016,Gray,45000,26000,Dallas,Middle
349,Honda,Pilot,2018,White,30000,29000,Atlanta,Low
350,Ford,Explorer,2017,Blue,35000,27000,Phoenix,Low
351,Chevrolet,Traverse,2019,Black,55000,12000,Houston,Middle
352,Hyundai,Santa Fe,2017,Red,50000,15000,Seattle,Middle
353,Toyota,4Runner,2016,Silver,40000,17000,Los Angeles,Middle
354,Honda,Odyssey,2015,White,60000,14000,New York,High
355,Ford,Edge,2019,Blue,55000,12000,Chicago,Middle
356,Chevrolet,Tahoe,2016,Black,45000,18000,Miami,Middle
357,Hyundai,Palisade,2015,Silver,35000,16000,San Francisco,Low
358,Toyota,Sienna,2016,Red,55000,14000,Dallas,Middle
359,Honda,Fit,2019,Gray,60000,12000,Atlanta,High
360,Ford,Fusion,2020,White,40000,15000,Phoenix,Middle
361,Chevrolet,Malibu,2015,Blue,25000,19000,Houston,Low
362,Hyundai,Venue,2016,Silver,30000,18000,Seattle,Low
363,Toyota,Yaris,2015,Black,65000,22000,Los Angeles,High
364,Toyota,Camry,2020,White,55000,16000,Los Angeles,Middle
365,Honda,Civic,2015,Blue,50000,14000,New York,Middle
366,Toyota,Camry,2020,White,55000,19000,Los Angeles,Middle
367,Honda,Civic,2015,Blue,30000,23000,New York,Low
368,Ford,Focus,2016,Silver,40000,21000,Chicago,Middle
369,Chevrolet,Cruze,2019,Red,45000,18000,Miami,Middle
370,Hyundai,Elantra,2017,Black,35000,20000,San Francisco,Low
371,Toyota,Corolla,2018,Gray,60000,25000,Dallas,High
372,Honda,Accord,2018,White,55000,24000,Atlanta,Middle
373,Ford,Mustang,2015,Yellow,50000,23000,Phoenix,Middle
374,Chevrolet,Impala,2017,Black,35000,28000,Houston,Low
375,Hyundai,Sonata,2018,Blue,40000,25000,Seattle,Middle
376,Toyota,Rav9,2015,Gray,70000,27000,Los Angeles,High
377,Honda,CR-V,2018,Red,55000,22000,New York,Middle
378,Ford,Escape,2015,White,50000,21000,Chicago,Middle
379,Chevrolet,Equinox,2018,Black,45000,26000,Miami,Middle
380,Hyundai,Kona,2019,Blue,30000,29000,San Francisco,Low
381,Toyota,Highlander,2019,Silver,35000,27000,Dallas,Low
382,Honda,Pilot,2017,Gray,55000,12000,Atlanta,Middle
383,Ford,Explorer,2016,White,50000,15000,Phoenix,Middle
384,Chevrolet,Traverse,2020,Black,40000,17000,Houston,Middle
385,Hyundai,Santa Fe,2019,Red,60000,14000,Seattle,High
386,Toyota,4Runner,2015,Silver,55000,12000,Los Angeles,Middle
387,Honda,Odyssey,2015,White,50000,15000,New York,Middle
388,Ford,Edge,2018,Blue,40000,17000,Chicago,Middle
389,Chevrolet,Tahoe,2017,Black,35000,14000,Miami,Low
390,Hyundai,Palisade,2020,Silver,70000,12000,San Francisco,High
391,Toyota,Sienna,2016,Red,55000,15000,Dallas,Middle
392,Honda,Fit,2020,Gray,50000,17000,Atlanta,Middle
393,Ford,Fusion,2019,White,40000,14000,Phoenix,Middle
394,Chevrolet,Malibu,2015,Blue,45000,16000,Houston,Middle
395,Hyundai,Venue,2019,Silver,35000,18000,Seattle,Low
396,Toyota,Yaris,2017,Black,60000,19000,Los Angeles,High
397,Honda,HR-V,2018,White,50000,18000,New York,Middle
398,Ford,EcoSport,2016,Red,40000,22000,Chicago,Middle
399,Chevrolet,Spark,2015,Blue,35000,25000,Miami,Low
400,Hyundai,Accent,2017,Silver,70000,18000,San Francisco,High
401,Toyota,Prius,2015,Gray,55000,19000,Dallas,Middle
402,Honda,Civic,2017,White,50000,17000,Atlanta,Middle
403,Ford,Fiesta,2017,Blue,45000,16000,Phoenix,Middle
404,Chevrolet,Cruze,2017,Black,40000,18000,Houston,Middle
405,Hyundai,Elantra,2020,Red,35000,20000,Seattle,Low
406,Toyota,Camry,2018,Silver,55000,19000,Los Angeles,Middle
407,Honda,Accord,2016,White,50000,23000,New York,Middle
408,Ford,Mustang,2015,Blue,40000,21000,Chicago,Middle
409,Chevrolet,Camaro,2017,Red,35000,24000,Miami,Low
410,Hyundai,Genesis,2015,Black,70000,20000,San Francisco,High
411,Toyota,Avalon,2018,Silver,55000,22000,Dallas,Middle
412,Honda,Civic,2020,Gray,50000,24000,Atlanta,Middle
413,Ford,Fusion,2019,White,45000,23000,Phoenix,Middle
414,Chevrolet,Impala,2015,Blue,40000,27000,Houston,Middle
415,Hyundai,Sonata,2015,Red,35000,25000,Seattle,Low
416,Toyota,Corolla,2016,Silver,70000,28000,Los Angeles,High
417,Honda,CR-V,2015,White,55000,22000,New York,Middle
418,Ford,Escape,2015,Blue,50000,21000,Chicago,Middle
419,Chevrolet,Equinox,2017,Black,45000,26000,Miami,Middle
420,Hyundai,Tucson,2016,Red,30000,29000,San Francisco,Low
421,Toyota,Rav9,2018,Gray,35000,27000,Dallas,Low
422,Honda,Pilot,2019,White,55000,12000,Atlanta,Middle
423,Ford,Explorer,2019,Blue,50000,15000,Phoenix,Middle
